Date2,Date3,Date1,Date,Close/Last,Volume,Open,High,Low
05-04-2018,04-05-2018,05-04-2018,2018/05/04,69.72,673336,68.5,69.97,68.12
05-07-2018,07-05-2018,05-07-2018,2018/05/07,70.73,729572,69.85,70.84,69.51
05-08-2018,08-05-2018,05-08-2018,2018/05/08,69.06,1216818,70.03,70.4,67.63
05-09-2018,09-05-2018,05-09-2018,2018/05/09,71.14,824627,70.05,71.36,69.85
05-10-2018,10-05-2018,05-10-2018,2018/05/10,71.36,722160,71.23,71.89,70.56
05-11-2018,11-05-2018,05-11-2018,2018/05/11,70.7,604420,71.45,71.63,70.45
05/14/2018,14-05-2018,05/14/2018,2018/05/14,70.96,568001,70.54,71.26,70.26
05/15/2018,15-05-2018,05/15/2018,2018/05/15,71.31,784348,71.15,71.92,70.42
05/16/2018,16-05-2018,05/16/2018,2018/05/16,71.49,554941,71.02,71.59,70.66
05/17/2018,17-05-2018,05/17/2018,2018/05/17,71.49,541055,71.56,72.3,71.09
05/18/2018,18-05-2018,05/18/2018,2018/05/18,71.28,195178,71.6,71.75,70.99
05/21/2018,21-05-2018,05/21/2018,2018/05/21,72.24,79058,71.47,72.59,71.25
05/22/2018,22-05-2018,05/22/2018,2018/05/22,72.2,711647,72.62,72.9,71.82
05/23/2018,23-05-2018,05/23/2018,2018/05/23,71.84,693148,72.11,72.26,71.19
05/24/2018,24-05-2018,05/24/2018,2018/05/24,70.71,628397,71.83,72,70.52
05/25/2018,25-05-2018,05/25/2018,2018/05/25,67.88,318852,67.55,67.55,65.8
05/29/2018,29-05-2018,05/29/2018,2018/05/29,66.73,1039530,66.49,67.55,65.8
05/30/2018,30-05-2018,05/30/2018,2018/05/30,68.21,706987,66.85,68.67,66.35
05/31/2018,31-05-2018,05/31/2018,2018/05/31,67.04,898238,68.24,68.3,66.56
06-01-2018,01-06-2018,06-01-2018,2018/06/01,65.81,761738,67.07,67.34,65.51
06-04-2018,04-06-2018,06-04-2018,2018/06/04,64.75,673684,65.71,66.04,64.57
06-05-2018,05-06-2018,06-05-2018,2018/06/05,65.52,698157,64.94,65.57,64.22
06-06-2018,06-06-2018,06-06-2018,2018/06/06,64.73,684475,65.51,65.96,64.27
06-07-2018,07-06-2018,06-07-2018,2018/06/07,65.95,636315,65.07,66.07,64.81
06-08-2018,08-06-2018,06-08-2018,2018/06/08,65.74,533171,65.98,66.24,65.15
06-11-2018,11-06-2018,06-11-2018,2018/06/11,66.1,523055,65.56,66.35,64.85
06-12-2018,12-06-2018,06-12-2018,2018/06/12,66.36,491800,66.05,66.7,65.87
06/13/2018,13-06-2018,06/13/2018,2018/06/13,66.64,581934,66.01,66.89,65.52
06/14/2018,14-06-2018,06/14/2018,2018/06/14,66.89,438091,66.62,67.16,66.36
06/15/2018,15-06-2018,06/15/2018,2018/06/15,65.06,477500,67,67.09,64.29
06/18/2018,18-06-2018,06/18/2018,2018/06/18,65.85,202765,64.4,65.98,63.59
06/19/2018,19-06-2018,06/19/2018,2018/06/19,65.07,89717,65.82,65.9,64.39
06/20/2018,20-06-2018,06/20/2018,2018/06/20,66.22,23659,65.11,66.53,65.01
06/21/2018,21-06-2018,06/21/2018,2018/06/21,65.54,746002,65.34,66.22,64.34
06/22/2018,22-06-2018,06/22/2018,2018/06/22,68.58,1110632,65.93,69.38,65.71
06/25/2018,25-06-2018,06/25/2018,2018/06/25,68.08,803539,68.75,69.44,67.78
06/26/2018,26-06-2018,06/26/2018,2018/06/26,70.53,830608,68.21,70.91,67.72
06/27/2018,27-06-2018,06/27/2018,2018/06/27,72.76,753845,70.68,73.06,70.56
06/28/2018,28-06-2018,06/28/2018,2018/06/28,73.45,695499,72.27,74.03,72.2
06/29/2018,29-06-2018,06/29/2018,2018/06/29,74.15,583319,73.33,74.46,72.93
07-02-2018,02-07-2018,07-02-2018,2018/07/02,73.94,634439,73.62,74.35,72.51
07-03-2018,03-07-2018,07-03-2018,2018/07/03,74.14,229260,74.23,74.9,73.5
07-05-2018,05-07-2018,07-05-2018,2018/07/05,72.94,825300,74.35,74.9,72.53
07-06-2018,06-07-2018,07-06-2018,2018/07/06,73.8,586470,73.16,74.01,72.14
